,,,,,
,,,,,
Intent,Language,User Query,Chatbot Response,Context,
Check_in_info,English,Where is the PIA check-in counter?,PIA check-in counters are located in Row C near Gate 4 at Islamabad Airport.,departure,
Check_in_info,English,Which row is the Serene Air check-in desk in?,"Serene Air check-in desks are in Row B, counters 8–12 at Islamabad Airport.",departure,
Check_in_info,English,What time does check-in start for flight PK301?,Check-in for PK301 opens 3 hours before departure at Islamabad Airport.,departure,
Check_in_info,English,Can I check in my luggage 3 hours before the flight?,"Yes,international check-in opens 3 hours early; domestic opens 2 hours early.",departure,
Check_in_info,English,How much baggage is allowed for Airblue?,Airblue allows 20 kg for checked baggage and 7 kg hand-carry.,departure,
Check_in_info,English,Where can I get a boarding pass for PK308?,Boarding passes are issued at the PIA counters in Row C at Islamabad Airport.,departure,
Check_in_info,English,Do I need to print my boarding pass or is mobile OK?,A mobile boarding pass is accepted at Islamabad Airport; printing is optional.,departure,
Check_in_info,English,Where do I drop my luggage after online check-in?,Go to your airlines baggage-drop counter marked Online Check-In.,departure,
Check_in_info,English,My flight is to Dubai — which counter should I go to?,For Dubai flights proceed to the international check-in area Row A.,departure,
Check_in_info,English,Can you tell me the check-in counter number for Qatar Airways?,Qatar Airways counters are at Row A counters 1–6 in the departure hall.,departure,
Check_in_info,English,Is the check-in area before or after security check?,The check-in area is before the main security checkpoint.,departure,
Check_in_info,English,What documents are needed for check-in at Islamabad Airport?,"You will need your CNIC or passport, ticket and vaccination certificate if required.",departure,
Check_in_info,English,Is there a separate counter for business class?,"Yes, most airlines have dedicated business-class counters next to regular ones.",departure,
Check_in_info,English,Where do I go for excess baggage payment?,Pay at your airlines counter or the excess baggage desk near Row D.,departure,
Check_in_info,English,How early should I arrive for an international flight?,Arrive at least 3 hours before departure for international flights.,departure,
Check_in_info,English,What time does check-in close for domestic flights?,Domestic check-in closes 45 minutes before flight time.,departure,
Check_in_info,English,Is there a self-check-in kiosk at Islamabad Airport?,"Yes,self-check-in kiosks are available near the entrance of Departure Hall B.",departure,
Check_in_info,English,Where can I find the baggage-wrapping service?,Baggage wrapping is available beside Gate 3 in the departure hall.,departure,
Check_in_info,English,Which side is the PIA counter in the departure hall?,PIA counters are on the left side of the departure hall.,departure,
Check_in_info,English,I can’t find my airline’s check-in counter — can you help?,Please check the flight information screen; it shows airline counter locations.,departure,
Check_in_info,English,Where can I print my boarding pass at the airport?,Printing kiosks are beside the airline counters and near the information desk.,departure,
Check_in_info,English,What is the check-in counter number for Fly Jinnah?,Fly Jinnah uses counters 10–14 in Row C at Islamabad Airport.,departure,
Check_in_info,English,Do you know if Serene Air check-in is open right now?,Serene Air check-in opens 2 hours before departure and closes 45 minutes before.,departure,
Check_in_info,English,I have connecting flights — can I check in luggage till final destination?,"Yes,for international connections, luggage is tagged till your final city.",departure,
Check_in_info,English,Is there a family check-in counter?,"Yes,families with children can use the priority lane beside Counter 5.",departure,
Check_in_info,English,Can I use the fast-track check-in service?,Fast-track is available for business-class and premium passengers only.,departure,
Check_in_info,English,Which counter handles special-assistance passengers?,Counter 1 is dedicated for passengers needing special assistance.,departure,
Check_in_info,English,Where can I check in my sports equipment?,Sports equipment can be checked at the oversize baggage counter near Row D.,departure,
Check_in_info,English,Can I check in more than one bag?,"Yes,as long as the total weight doesn’t exceed your airlines baggage limit.",departure,
Check_in_info,English,How much weight is allowed in hand-carry?,Standard hand-carry allowance is 7 kg confirm with your airline.,departure,
Check_in_info,English,Which gate should I go to after check-in?,Your gate number will be printed on your boarding pass.,departure,
Check_in_info,English,Do I need to show my vaccination certificate during check-in?,Some destinations require it; carry a printed or digital copy just in case.,departure,
Check_in_info,English,Where can I find trolley service for luggage?,Trolleys are available at every entrance and near airline counters.,departure,
Check_in_info,English,I can't find my airline on the departure screen — what should I do?,Visit the information desk or ask airline staff at the help counter.,departure,
Check_in_info,English,Is the check-in counter for PK302 near Gate 2 or 3?,The check-in for PK302 is close to Gate 3 in the departure area.,departure,
Check_in_info,English,Can I check in without a printout of my ticket?,"Yes,you can show the e-ticket on your phone or CNIC at the counter.",departure,
Check_in_info,English,Is there a separate line for online check-in passengers?,"Yes,look for signs marked Online Check-In or Baggage Drop.",departure,
Check_in_info,English,I have fragile items — can I get a fragile tag at check-in?,"Yes,inform the counter agent they will attach a Fragile label.",departure,
Check_in_info,English,Where is the luggage drop for Serene Air?,Serene Air baggage-drop is beside counters 9–10 in Row B.,departure,
Check_in_info,English,What are the check-in timings for early morning flights?,Check-in opens at least 2 hours before scheduled departure.,departure,
Check_in_info,English,Can I check in my power bank or electronics?,Power banks and electronics must go in hand-carry not checked luggage.,departure,
Check_in_info,English,Where do I weigh my luggage before check-in?,Scales are placed near each airline counter and at baggage wrapping stations.,departure,
Check_in_info,English,I lost my e-ticket — can I still check in?,"Yes,show your CNIC and flight details; airline staff can retrieve your booking.",departure,
Check_in_info,English,Which terminal handles PIA domestic flights?,PIA domestic flights operate from Terminal 1 (Departure Hall C).,departure,
Check_in_info,English,Can I check in for my return flight also?,Normally check-in is only for the current flight; return check-in is not available.,departure,
Check_in_info,English,Where is the counter for international check-in?,International counters are located in Row A near immigration entry.,departure,
Check_in_info,English,How long is the average check-in time right now?,It usually takes 15–25 minutes depending on passenger load.,departure,
Check_in_info,English,Can I check in my baby stroller?,"Yes,it can be tagged at check-in and handed over at the boarding gate.",departure,
Check_in_info,English,Are check-in counters open 24 hours?,Only for certain airlines; others open 3 hours before scheduled flights.,departure,
Check_in_info,English,How do I know which row my airline’s counter is in?,Flight screens in the hall show counter rows and airline logos for easy guidance.,departure,
,,,,,
